NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"South Fulton city, Georgia",84232,13,72122,South Fulton city,Georgia,"South Fulton city, Georgia",33.6188889,-84.5289953,0.0,3.0
"Urban Honolulu CDP, Hawaii",82006,15,71550,Urban Honolulu CDP,Hawaii,"Urban Honolulu CDP, Hawaii",21.2967598,-157.8514509667774,1.0,20.0
"Boise City city, Idaho",81425,16,8830,Boise City city,Idaho,"Boise City city, Idaho",43.6166163,-116.200886,1.0,20.0
"Meridian city, Idaho",89683,16,52120,Meridian city,Idaho,"Meridian city, Idaho",43.6096104,-116.3931814729916,3.0,4.0
"Arlington Heights village, Illinois",113970,17,2154,Arlington Heights village,Illinois,"Arlington Heights village, Illinois",39.09307,-90.397658,0.0,8.0
"Aurora city, Illinois",84578,17,3012,Aurora city,Illinois,"Aurora city, Illinois",41.7566515,-88.31458416834076,0.0,4.0
"Bolingbrook village, Illinois",91928,17,7133,Bolingbrook village,Illinois,"Bolingbrook village, Illinois",41.69647415,-88.08061223444497,0.0,14.0
"Elgin city, Illinois",85167,17,23074,Elgin city,Illinois,"Elgin city, Illinois",42.0557884,-88.2866919301975,2.0,15.0
"Evanston city, Illinois",97144,17,24582,Evanston city,Illinois,"Evanston city, Illinois",42.046069,-87.69123,1.0,20.0
"Joliet city, Illinois",86928,17,38570,Joliet city,Illinois,"Joliet city, Illinois",41.52850195,-88.08204756682818,0.0,8.0
"Naperville city, Illinois",140831,17,51622,Naperville city,Illinois,"Naperville city, Illinois",41.762684,-88.190457,2.0,10.0
"Palatine village, Illinois",92621,17,57225,Palatine village,Illinois,"Palatine village, Illinois",42.13594665,-88.0360413,0.0,10.0
"Schaumburg village, Illinois",92666,17,68003,Schaumburg village,Illinois,"Schaumburg village, Illinois",42.029467,-88.05848347563031,0.0,13.0
"Skokie village, Illinois",97059,17,70122,Skokie village,Illinois,"Skokie village, Illinois",42.02584935,-87.75616183797185,1.0,20.0
"Carmel city, Indiana",130332,18,10342,Carmel city,Indiana,"Carmel city, Indiana",32.6922393,35.0482785,0.0,3.0
"Fishers city, Indiana",125159,18,23278,Fishers city,Indiana,"Fishers city, Indiana",39.95864445,-86.01712777157263,1.0,7.0
"Noblesville city, Indiana",106025,18,54180,Noblesville city,Indiana,"Noblesville city, Indiana",40.04513515,-86.011830675,2.0,1.0
"Ankeny city, Iowa",103578,19,2305,Ankeny city,Iowa,"Ankeny city, Iowa",41.73259535,-93.60553609214182,0.0,6.0
"West Des Moines city, Iowa",85731,19,83910,West Des Moines city,Iowa,"West Des Moines city, Iowa",41.5708191,-93.70860759889392,2.0,20.0
"Olathe city, Kansas",100972,20,52575,Olathe city,Kansas,"Olathe city, Kansas",38.842955,-94.84043755649796,0.0,2.0
"Overland Park city, Kansas",96694,20,53775,Overland Park city,Kansas,"Overland Park city, Kansas",37.791758,-97.332242,0.0,1.0
"Shawnee city, Kansas",101063,20,64500,Shawnee city,Kansas,"Shawnee city, Kansas",39.017596,-94.826136,0.0,4.0
"Bethesda CDP, Maryland",158720,24,7125,Bethesda CDP,Maryland,"Bethesda CDP, Maryland",38.989441,-77.118791,0.0,20.0
"Columbia CDP, Maryland",120675,24,19125,Columbia CDP,Maryland,"Columbia CDP, Maryland",39.199038,-76.841517,2.0,6.0
"Ellicott City CDP, Maryland",165588,24,26000,Ellicott City CDP,Maryland,"Ellicott City CDP, Maryland",39.275859,-76.835556,0.0,10.0
"Frederick city, Maryland",94767,24,30325,Frederick city,Maryland,"Frederick city, Maryland",39.41021255,-77.42273680791672,0.0,3.0
"Gaithersburg city, Maryland",95453,24,31175,Gaithersburg city,Maryland,"Gaithersburg city, Maryland",39.1399062,-77.1926813,0.0,8.0
